,majorGroup,scientificName,kingdomName,image_inaturalist,licence,assessmentId,internalTaxonId,phylumName,orderName,className,familyName,genusName,speciesName,authority,redlistCategory,populationTrend,scopes
21,Fishes,Discotrema crinophilum,ANIMALIA,https://www.inaturalist.org/photos/198313379,"(c) Rafi Amar, some rights reserved (CC BY-NC)",115447857,67905401,CHORDATA,GOBIESOCIFORMES,ACTINOPTERYGII,GOBIESOCIDAE,Discotrema,crinophilum,"Briggs, 1976",Least Concern,Unknown,Global
22,Fishes,Citharinus citharus,ANIMALIA,https://www.inaturalist.org/photos/112877512,"(c) ONG OeBenin, some rights reserved (CC BY-NC)",134901775,182293,CHORDATA,CHARACIFORMES,ACTINOPTERYGII,CITHARINIDAE,Citharinus,citharus,"(Geoffroy Saint-Hilaire, 1809)",Least Concern,Unknown,Global
23,Fishes,Electrophorus electricus,ANIMALIA,https://www.inaturalist.org/photos/80266255,"(c) Stan Shebs, some rights reserved (CC BY-SA)",6369863,167700,CHORDATA,GYMNOTIFORMES,ACTINOPTERYGII,GYMNOTIDAE,Electrophorus,electricus,"(Linnaeus, 1766)",Least Concern,Stable,Global
24,Fishes,Ogcocephalus cubifrons,ANIMALIA,https://www.inaturalist.org/photos/159919675,"(c) Pauline Walsh Jacobson, some rights reserved (CC BY)",20683343,20664248,CHORDATA,LOPHIIFORMES,ACTINOPTERYGII,OGCOCEPHALIDAE,Ogcocephalus,cubifrons,"(Richardson, 1836)",Least Concern,Stable,Global
25,Fishes,Cyttus novaezealandiae,ANIMALIA,https://www.inaturalist.org/photos/168064764,"(c) Ken Graham, some rights reserved (CC BY-NC)",115265872,155056,CHORDATA,ZEIFORMES,ACTINOPTERYGII,CYTTIDAE,Cyttus,novaezealandiae,"(Arthur, 1885)",Least Concern,Unknown,Global
26,Fishes,Atractosteus tristoechus,ANIMALIA,https://www.inaturalist.org/photos/110354790,"(c) Joachim S. M¸ller, some rights reserved (CC BY-NC-SA)",124286091,46104013,CHORDATA,LEPISOSTEIFORMES,ACTINOPTERYGII,LEPISOSTEIDAE,Atractosteus,tristoechus,"(Bloch &amp; Schneider, 1801)",Critically Endangered,Decreasing,Global
27,Fishes,Sanopus splendidus,ANIMALIA,https://www.inaturalist.org/photos/246399037,"(c) Pauline Walsh Jacobson, some rights reserved (CC BY)",16643913,19899,CHORDATA,BATRACHOIDIFORMES,ACTINOPTERYGII,BATRACHOIDIDAE,Sanopus,splendidus,"Collette, Starck &amp; Phillips, 1974",Endangered,Unknown,Global
28,Fishes,Megalops atlanticus,ANIMALIA,https://www.inaturalist.org/photos/61367557,"(c) Bernat GarrigÛs, some rights reserved (CC BY-NC)",174796143,191823,CHORDATA,ELOPIFORMES,ACTINOPTERYGII,MEGALOPIDAE,Megalops,atlanticus,"Valenciennes, 1847",Vulnerable,Decreasing,Global
29,Fishes,Albula glossodonta,ANIMALIA,https://www.inaturalist.org/photos/6093083,"(c) David R, some rights reserved (CC BY-NC)",2310398,194299,CHORDATA,ALBULIFORMES,ACTINOPTERYGII,ALBULIDAE,Albula,glossodonta,"(Forssk√•l, 1775)",Vulnerable,Decreasing,Global
30,Fishes,Rhincodon typus,ANIMALIA,https://www.inaturalist.org/photos/153709712,"(c) Chong Wan Yong, some rights reserved (CC BY-NC)",2365291,19488,CHORDATA,ORECTOLOBIFORMES,CHONDRICHTHYES,RHINCODONTIDAE,Rhincodon,typus,"Smith, 1828",Endangered,Decreasing,Global
31,Fishes,Notacanthus chemnitzii,ANIMALIA,https://www.inaturalist.org/photos/20520721,"(c) Jean-FranÁois Rousseau, some rights reserved (CC BY-NC)",2427458,195852,CHORDATA,NOTACANTHIFORMES,ACTINOPTERYGII,NOTACANTHIDAE,Notacanthus,chemnitzii,"Bloch, 1788",Least Concern,Unknown,Global
32,Fishes,Hippocampus histrix,ANIMALIA,https://www.inaturalist.org/photos/160013865,"(c) Paul Sorensen, some rights reserved (CC BY-NC)",54905206,10070,CHORDATA,SYNGNATHIFORMES,ACTINOPTERYGII,SYNGNATHIDAE,Hippocampus,histrix,"Kaup, 1856",Vulnerable,Decreasing,Global
33,Fishes,Amia calva,ANIMALIA,https://www.inaturalist.org/photos/38473528,"(c) Phil's 1stPix, some rights reserved (CC BY-NC-SA)",2730796,201942,CHORDATA,AMIIFORMES,ACTINOPTERYGII,AMIIDAE,Amia,calva,"Linnaeus, 1766",Least Concern,Stable,Global
34,Fishes,Chologaster cornuta,ANIMALIA,https://www.inaturalist.org/photos/135105426,"(c) Daniel Folds, some rights reserved (CC BY-NC)",15361831,202609,CHORDATA,PERCOPSIFORMES,ACTINOPTERYGII,AMBLYOPSIDAE,Chologaster,cornuta,"Agassiz, 1853",Least Concern,Stable,Global
35,Fishes,Grammonus ater,ANIMALIA,https://www.inaturalist.org/photos/108404315,"(c) Sylvain Le Bris, some rights reserved (CC BY-NC)",49088360,194845,CHORDATA,OPHIDIIFORMES,ACTINOPTERYGII,BYTHITIDAE,Grammonus,ater,"(Risso, 1810)",Least Concern,Unknown,"Global, Europe & Mediterranean"
36,Fishes,Bathyraja aleutica,ANIMALIA,https://www.inaturalist.org/photos/11329989,"(c) Jackson W.F. Chu, some rights reserved (CC BY-NC-SA)",80674005,161661,CHORDATA,RAJIFORMES,CHONDRICHTHYES,ARHYNCHOBATIDAE,Bathyraja,aleutica,(Gilbert 1896),Least Concern,Stable,Global
37,Fishes,Torpedo fuscomaculata,ANIMALIA,https://www.inaturalist.org/photos/26150395,"(c) Ewout Knoester, some rights reserved (CC BY-NC)",124436131,44621,CHORDATA,TORPEDINIFORMES,CHONDRICHTHYES,TORPEDINIDAE,Torpedo,fuscomaculata,"Peters, 1855",Data Deficient,Decreasing,Global
38,Fishes,Hydrolagus melanophasma,ANIMALIA,https://www.inaturalist.org/photos/182440681,"(c) Ignacio Contreras, some rights reserved (CC BY-NC)",124542132,195435,CHORDATA,CHIMAERIFORMES,CHONDRICHTHYES,CHIMAERIDAE,Hydrolagus,melanophasma,"James, Ebert, Long &amp; Didier, 2009",Least Concern,Stable,Global
39,Fishes,Salmo marmoratus,ANIMALIA,https://www.inaturalist.org/photos/5352680,"(c) Alberto Tamietti, some rights reserved (CC BY-NC)",9043279,19859,CHORDATA,SALMONIFORMES,ACTINOPTERYGII,SALMONIDAE,Salmo,marmoratus,"Cuvier, 1829",Least Concern,Decreasing,Global & Europe
40,Fishes,Huso huso,ANIMALIA,https://www.inaturalist.org/photos/71393877,"(c) ?????? ???????, some rights reserved (CC BY-SA)",3187455,10269,CHORDATA,ACIPENSERIFORMES,ACTINOPTERYGII,ACIPENSERIDAE,Huso,huso,"(Linnaeus, 1758)",Critically Endangered,Decreasing,Global
41,Fishes,Ciliata mustela,ANIMALIA,https://www.inaturalist.org/photos/111442782,"(c) jonatan_antunez, some rights reserved (CC BY-NC)",45129775,18125362,CHORDATA,GADIFORMES,ACTINOPTERYGII,LOTIDAE,Ciliata,mustela,"(Linnaeus, 1758)",Least Concern,Unknown,Global & Europe
42,Fishes,Entosphenus macrostoma,ANIMALIA,https://www.inaturalist.org/photos/66898623,"(c) linddealy, some rights reserved (CC BY-NC)",81468224,11208,CHORDATA,PETROMYZONTIFORMES,CEPHALASPIDOMORPHI,PETROMYZONTIDAE,Entosphenus,macrostoma,"Beamish, 1982",Endangered,Unknown,Global
43,Fishes,Aulorhynchus flavidus,ANIMALIA,https://www.inaturalist.org/photos/107588590,"(c) Sara Thiebaud, some rights reserved (CC BY-NC)",115406876,65134524,CHORDATA,GASTEROSTEIFORMES,ACTINOPTERYGII,AULORHYNCHIDAE,Aulorhynchus,flavidus,"Gill, 1861",Least Concern,Unknown,Global
44,Fishes,Latropiscis purpurissatus,ANIMALIA,https://www.inaturalist.org/photos/5230845,"(c) John Turnbull, some rights reserved (CC BY-NC-SA)",123321819,123321694,CHORDATA,AULOPIFORMES,ACTINOPTERYGII,AULOPIDAE,Latropiscis,purpurissatus,"(Richardson, 1843)",Least Concern,Unknown,Global
45,Fishes,Eptatretus cirrhatus,ANIMALIA,https://www.inaturalist.org/photos/39972101,"(c) mattruglys, some rights reserved (CC BY-NC)",4644581,154825,CHORDATA,MYXINIFORMES,MYXINI,MYXINIDAE,Eptatretus,cirrhatus,"(Forster, 1801)",Least Concern,Unknown,Global
46,Fishes,Polymetme thaeocoryla,ANIMALIA,https://www.inaturalist.org/photos/30313091,"(c) Carmen B. de los Santos, some rights reserved (CC BY-NC-SA)",60811584,190258,CHORDATA,STOMIIFORMES,ACTINOPTERYGII,PHOSICHTHYIDAE,Polymetme,thaeocoryla,"Parin &amp; Borodulina, 1990",Least Concern,Unknown,Global
47,Fishes,Polypterus ornatipinnis,ANIMALIA,https://www.inaturalist.org/photos/132037738,"(c) naturald, some rights reserved (CC BY-ND)",7807150,182062,CHORDATA,POLYPTERIFORMES,ACTINOPTERYGII,POLYPTERIDAE,Polypterus,ornatipinnis,"Boulenger, 1902",Least Concern,Unknown,Global & Pan-Africa
48,Fishes,Diretmus argenteus,ANIMALIA,https://www.inaturalist.org/photos/30088824,"(c) Gonzalo Mucientes Sandoval, some rights reserved (CC BY-NC-SA)",42461403,18124015,CHORDATA,BERYCIFORMES,ACTINOPTERYGII,DIRETMIDAE,Diretmus,argenteus,"Johnson, 1864",Least Concern,Unknown,Global
49,Fishes,Esox masquinongy,ANIMALIA,https://www.inaturalist.org/photos/55205913,Public Domain,15363615,202401,CHORDATA,ESOCIFORMES,ACTINOPTERYGII,ESOCIDAE,Esox,masquinongy,"Mitchill, 1824",Least Concern,Stable,Global
50,Fishes,Guentherus altivela,ANIMALIA,https://www.inaturalist.org/photos/94106683,"(c) Daniel, some rights reserved (CC BY-NC)",13462792,13462250,CHORDATA,ATELEOPODIFORMES,ACTINOPTERYGII,ATELEOPODIDAE,Guentherus,altivela,"Os√≥rio, 1917",Least Concern,Unknown,Global
51,Fishes,Neoscopelus macrolepidotus,ANIMALIA,https://www.inaturalist.org/photos/176537034,"(c) Ken Graham, some rights reserved (CC BY-NC)",15603910,15601909,CHORDATA,MYCTOPHIFORMES,ACTINOPTERYGII,NEOSCOPELIDAE,Neoscopelus,macrolepidotus,"Johnson, 1863",Least Concern,Unknown,Global
52,Fishes,Polymixia lowei,ANIMALIA,https://www.inaturalist.org/photos/29944966,"(c) Gonzalo Mucientes Sandoval, some rights reserved (CC BY-NC-SA)",16781763,190175,CHORDATA,POLYMIXIIFORMES,ACTINOPTERYGII,POLYMIXIIDAE,Polymixia,lowei,"G√ºnther, 1859",Least Concern,Unknown,Global
53,Fishes,Lophotus guntheri,ANIMALIA,https://www.inaturalist.org/photos/79196218,"(c) Dion Maple, some rights reserved (CC BY-NC)",123376508,123374956,CHORDATA,LAMPRIFORMES,ACTINOPTERYGII,LOPHOTIDAE,Lophotus,guntheri,"Johnston, 1883",Least Concern,Unknown,Global
54,Fishes,Squatina guggenheim,ANIMALIA,https://www.inaturalist.org/photos/165495401,"(c) Gonzalo Bravo, some rights reserved (CC BY-NC)",130393975,130393378,CHORDATA,SQUATINIFORMES,CHONDRICHTHYES,SQUATINIDAE,Squatina,guggenheim,"Marini, 1936",Endangered,Decreasing,Global
55,Fishes,Eurypharynx pelecanoides,ANIMALIA,https://www.inaturalist.org/photos/169688272,"(c) Ken Graham, some rights reserved (CC BY-NC)",42691734,18227119,CHORDATA,SACCOPHARYNGIFORMES,ACTINOPTERYGII,EURYPHARYNGIDAE,Eurypharynx,pelecanoides,"Vaillant, 1882",Least Concern,Unknown,Global
56,Fishes,Chanos chanos,ANIMALIA,https://www.inaturalist.org/photos/124520494,"(c) collmg9, some rights reserved (CC BY-NC)",151598011,60324,CHORDATA,GONORYNCHIFORMES,ACTINOPTERYGII,CHANIDAE,Chanos,chanos,"(Forssk√•l, 1775)",Least Concern,Unknown,Global
57,Fishes,Sio nordenskjoldii,ANIMALIA,https://www.inaturalist.org/photos/169688746,"(c) Ken Graham, some rights reserved (CC BY-NC)",135579457,135432447,CHORDATA,STEPHANOBERYCIFORMES,ACTINOPTERYGII,MELAMPHAIDAE,Sio,nordenskjoldii,"(L√∂nnberg, 1905)",Least Concern,Unknown,Global
58,Fishes,Rondeletia loricata,ANIMALIA,https://www.inaturalist.org/photos/86991569,"(c) Gonzalo Mucientes Sandoval, some rights reserved (CC BY-NC-SA)",60812443,60483273,CHORDATA,CETOMIMIFORMES,ACTINOPTERYGII,RONDELETIIDAE,Rondeletia,loricata,"Abe &amp; Hotta, 1963",Least Concern,Unknown,Global
59,Fishes,Heterodontus portusjacksoni,ANIMALIA,https://www.inaturalist.org/photos/5333243,"(c) Erik Schlogl, some rights reserved (CC BY-NC)",68625721,39334,CHORDATA,HETERODONTIFORMES,CHONDRICHTHYES,HETERODONTIDAE,Heterodontus,portusjacksoni,"(Meyer, 1793)",Least Concern,Stable,Global
60,Fishes,Pristiophorus japonicus,ANIMALIA,https://www.inaturalist.org/photos/62876139,"(c) ume-y, some rights reserved (CC BY)",124518986,161634,CHORDATA,PRISTIOPHORIFORMES,CHONDRICHTHYES,PRISTIOPHORIDAE,Pristiophorus,japonicus,"G√ºnther, 1870",Least Concern,Stable,Global
61,Fishes,Notorynchus cepedianus,ANIMALIA,https://www.inaturalist.org/photos/80164457,"(c) marciariederer, some rights reserved (CC BY-NC)",2896914,39324,CHORDATA,HEXANCHIFORMES,CHONDRICHTHYES,HEXANCHIDAE,Notorynchus,cepedianus,"(P√©ron, 1807)",Vulnerable,Decreasing,Global
62,Fishes,Gambusia nobilis,ANIMALIA,https://www.inaturalist.org/photos/248431302,"(c) Eric C. Maxwell, some rights reserved (CC BY-NC)",18232636,8895,CHORDATA,CYPRINODONTIFORMES,ACTINOPTERYGII,POECILIIDAE,Gambusia,nobilis,"(Baird &amp; Girard, 1853)",Endangered,Unknown,Global
63,Fishes,Pangasianodon hypophthalmus,ANIMALIA,https://www.inaturalist.org/photos/176292248,"(c) Tylwyth Eldar, some rights reserved (CC BY-SA)",7649971,180689,CHORDATA,SILURIFORMES,ACTINOPTERYGII,PANGASIIDAE,Pangasianodon,hypophthalmus,"(Sauvage, 1878)",Endangered,Decreasing,Global
64,Fishes,Cirrhitichthys falco,ANIMALIA,https://www.inaturalist.org/photos/11975084,"(c) Ian Banks, some rights reserved (CC BY-NC)",115451031,67997318,CHORDATA,PERCIFORMES,ACTINOPTERYGII,CIRRHITIDAE,Cirrhitichthys,falco,"Randall, 1963",Least Concern,Unknown,Global
65,Fishes,Cetorhinus maximus,ANIMALIA,https://www.inaturalist.org/photos/133575178,"(c) azure27014, some rights reserved (CC BY-NC)",194720078,4292,CHORDATA,LAMNIFORMES,CHONDRICHTHYES,CETORHINIDAE,Cetorhinus,maximus,"(Gunnerus, 1765)",Endangered,Decreasing,Global
66,Fishes,Winteria telescopa,ANIMALIA,https://www.inaturalist.org/photos/56149444,"(c) Ken Graham, some rights reserved (CC BY-NC)",21410726,21101322,CHORDATA,OSMERIFORMES,ACTINOPTERYGII,OPISTHOPROCTIDAE,Winteria,telescopa,"Brauer, 1901",Least Concern,Unknown,Global
67,Fishes,Tor sinensis,ANIMALIA,https://www.inaturalist.org/photos/108214833,"(c) Liu Guangyu, some rights reserved (CC BY-NC)",126322879,187891,CHORDATA,CYPRINIFORMES,ACTINOPTERYGII,CYPRINIDAE,Tor,sinensis,"Wu, 1977",Vulnerable,Unknown,Global
68,Fishes,Melanotaenia maccullochi,ANIMALIA,https://www.inaturalist.org/photos/184604393,"(c) honeypossom23, some rights reserved (CC BY-NC)",163435363,163435336,CHORDATA,ATHERINIFORMES,ACTINOPTERYGII,MELANOTAENIIDAE,Melanotaenia,maccullochi,"Ogilby, 1915",Least Concern,Decreasing,Global
69,Fishes,Pristis zijsron,ANIMALIA,https://www.inaturalist.org/photos/2230558,"(c) Giverny, some rights reserved (CC BY-NC)",141792003,39393,CHORDATA,RHINOPRISTIFORMES,CHONDRICHTHYES,PRISTIDAE,Pristis,zijsron,"Bleeker, 1851",Critically Endangered,Decreasing,Global
70,Fishes,Isistius brasiliensis,ANIMALIA,https://www.inaturalist.org/photos/104243823,Public Domain,2956761,41830,CHORDATA,SQUALIFORMES,CHONDRICHTHYES,DALATIIDAE,Isistius,brasiliensis,"(Quoy &amp; Gaimard, 1824)",Least Concern,Unknown,Global
71,Fishes,Gymnura altavela,ANIMALIA,https://www.inaturalist.org/photos/164973879,"(c) Sylvain Le Bris, some rights reserved (CC BY-NC)",3123409,63153,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,GYMNURIDAE,Gymnura,altavela,"(Linnaeus, 1758)",Endangered,Decreasing,Global
72,Fishes,Brevoortia tyrannus,ANIMALIA,https://www.inaturalist.org/photos/214912621,"(c) Emilio Concari, some rights reserved (CC BY-NC)",16510462,190134,CHORDATA,CLUPEIFORMES,ACTINOPTERYGII,CLUPEIDAE,Brevoortia,tyrannus,"(Latrobe, 1802)",Least Concern,Increasing,Global
73,Fishes,Macrognathus pancalus,ANIMALIA,https://www.inaturalist.org/photos/140546679,"(c) Haplochromis, some rights reserved (CC BY-SA)",6232710,166542,CHORDATA,SYNBRANCHIFORMES,ACTINOPTERYGII,MASTACEMBELIDAE,Macrognathus,pancalus,"Hamilton, 1822",Least Concern,Unknown,Global
74,Fishes,Oryzias sinensis,ANIMALIA,https://www.inaturalist.org/photos/26981444,"(c) Zinogre, some rights reserved (CC BY-SA)",1720540,181312,CHORDATA,BELONIFORMES,ACTINOPTERYGII,ADRIANICHTHYIDAE,Oryzias,sinensis,"Chen, Uwa &amp; Chu, 1989",Least Concern,Unknown,Global
75,Fishes,Lactophrys triqueter,ANIMALIA,https://www.inaturalist.org/photos/229358674,"(c) FranÁois Libert, some rights reserved (CC BY-NC)",115315495,190363,CHORDATA,TETRAODONTIFORMES,ACTINOPTERYGII,OSTRACIIDAE,Lactophrys,triqueter,"(Linnaeus, 1758)",Least Concern,Unknown,Global
76,Fishes,Psettodes erumei,ANIMALIA,https://www.inaturalist.org/photos/153877443,"(c) moovendankings, some rights reserved (CC BY-NC)",1161449,166996,CHORDATA,PLEURONECTIFORMES,ACTINOPTERYGII,PSETTODIDAE,Psettodes,erumei,"(Bloch &amp; Schneider, 1801)",Data Deficient,Unknown,Global
77,Fishes,Marcusenius altisambesi,ANIMALIA,https://www.inaturalist.org/photos/49582823,"(c) Wilderness Safaris Botswana - Conservation Team, some rights reserved (CC BY)",7759377,181896,CHORDATA,OSTEOGLOSSIFORMES,ACTINOPTERYGII,MORMYRIDAE,Marcusenius,altisambesi,"Kramer, Skelton, van der Bank &amp; Wink, 2007",Least Concern,Unknown,"Global, Pan-Africa & S. Africa FW"
78,Fishes,Oxylebius pictus,ANIMALIA,https://www.inaturalist.org/photos/88389257,"(c) Sara Thiebaud, some rights reserved (CC BY-NC)",158883848,158882686,CHORDATA,SCORPAENIFORMES,ACTINOPTERYGII,HEXAGRAMMIDAE,Oxylebius,pictus,"Gill, 1862",Least Concern,Unknown,Global
79,Fishes,Leporinus octofasciatus,ANIMALIA,https://www.inaturalist.org/photos/36075055,"(c) vickygn, some rights reserved (CC BY-NC)",1813287,186453,CHORDATA,CHARACIFORMES,ACTINOPTERYGII,ANOSTOMIDAE,Leporinus,octofasciatus,"Steindachner, 1915",Least Concern,Unknown,Global
80,Fishes,Xenolepidichthys dalgleishi,ANIMALIA,https://www.inaturalist.org/photos/128669170,"(c) Elizabeth Craig, some rights reserved (CC BY-NC)",16782273,16781189,CHORDATA,ZEIFORMES,ACTINOPTERYGII,GRAMMICOLEPIDIDAE,Xenolepidichthys,dalgleishi,"Gilchrist, 1922",Least Concern,Stable,Global
81,Fishes,Elops hawaiensis,ANIMALIA,https://www.inaturalist.org/photos/77022949,"(c) Alex Hoschke, some rights reserved (CC BY-NC)",2311072,194307,CHORDATA,ELOPIFORMES,ACTINOPTERYGII,ELOPIDAE,Elops,hawaiensis,"Regan, 1909",Data Deficient,Unknown,Global
82,Fishes,Percopsis omiscomaycus,ANIMALIA,https://www.inaturalist.org/photos/36824513,"(c) dexternienhaus, some rights reserved (CC BY-NC)",18236961,202613,CHORDATA,PERCOPSIFORMES,ACTINOPTERYGII,PERCOPSIDAE,Percopsis,omiscomaycus,"(Walbaum, 1792)",Least Concern,Unknown,Global
83,Fishes,Typhlias pearsei,ANIMALIA,https://www.inaturalist.org/photos/2425798,"(c) Isai Dominguez, some rights reserved (CC BY-NC-ND)",2896759,39296,CHORDATA,OPHIDIIFORMES,ACTINOPTERYGII,DINEMATICHTHYIDAE,Typhlias,pearsei,"(Hubbs, 1938)",Near Threatened,Unknown,Global
84,Fishes,Stegostoma tigrinum,ANIMALIA,https://www.inaturalist.org/photos/125113158,"(c) Simon Pierce, some rights reserved (CC BY-NC)",161303882,41878,CHORDATA,ORECTOLOBIFORMES,CHONDRICHTHYES,STEGOSTOMIDAE,Stegostoma,tigrinum,"Forster, 1781",Endangered,Decreasing,Global
